X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0260188810972,38.8930387072779,30218147,38.893028,-77.026013,10th St & Constitution Ave NW,classic,76,active,2022/04/16 04:39:43+00,30,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0555776109182,38.8972983502324,30218148,38.897293,-77.05557,Kennedy Center,classic,77,active,2022/04/16 04:39:42+00,2,0,16,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9952306729751,38.8841051966687,30218149,38.884095,-76.995234,Eastern Market Metro / Pennsylvania Ave & 8th St SE,classic,78,active,2022/04/16 04:24:41+00,13,0,5,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.041783439,38.9050783128099,30218150,38.905067,-77.041779,18th & M St NW,classic,79,active,2022/04/16 04:29:41+00,27,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,27,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0793807908232,38.9476141203464,30218151,38.947607,-77.079382,Tenleytown / Wisconsin Ave & Albemarle St NW,classic,80,active,2022/04/16 04:44:43+00,15,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9882549807084,38.9004368833868,30218152,38.900427,-76.98825,13th & H St NE,classic,81,active,2022/04/16 04:55:10+00,3,0,24,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,27,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0193458435766,38.897228894416,30218153,38.897222,-77.019347,5th & F St NW,classic,82,active,2022/04/16 06:29:07+00,23,1,5,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.033352902347,38.8990364159272,30218154,38.899032,-77.033354,New York Ave & 15th St NW,classic,83,active,2022/04/16 04:44:44+00,11,0,7,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.02227654989,38.9057412707184,30218155,38.905737,-77.02227,Convention Center / 7th & M St NW,classic,84,active,2022/04/16 02:07:39+00,8,0,10,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0433652471444,38.927877830453,30218156,38.927872,-77.043358,Harvard St & Adams Mill Rd NW,classic,85,active,2022/04/16 04:39:41+00,0,0,14,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.042451328345,38.9037448356177,30218157,38.903741,-77.042452,18th & L St NW,classic,86,active,2022/04/16 06:09:49+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
